MPIO_CNMBR,DEPTO
FLORENCIA,CAQUETA
ALBANIA,CAQUETA
BELEN DE LOS ANDAQUIES,CAQUETA
EL DONCELLO,CAQUETA
EL PAUJIL,CAQUETA
LA MONTAÑITA,CAQUETA
MILAN,CAQUETA
MORELIA,CAQUETA
SAN JOSE DEL FRAGUA,CAQUETA
VALPARAISO,CAQUETA
CARTAGENA DEL CHAIRA,CAQUETA
SAN VICENTE DEL CAGUAN,CAQUETA
SOLANO,CAQUETA
SOLITA,CAQUETA
CURRILLO,CAQUETA
PUERTO RICO,CAQUETA
POPAYAN,CAUCA
ALMAGUER,CAUCA
ARGELIA,CAUCA
BALBOA,CAUCA
BOLIVAR,CAUCA
BUENOS AIRES,CAUCA
CAJIBIO,CAUCA
CALDONO,CAUCA
CALOTO,CAUCA
CORINTO,CAUCA
FLORENCIA,CAUCA
INZA,CAUCA
JAMBALO,CAUCA
LA SIERRA,CAUCA
LA VEGA,CAUCA
MERCADERES,CAUCA
MIRANDA,CAUCA
MORALES,CAUCA
PADILLA,CAUCA
PAEZ,CAUCA
PATIA,CAUCA
PIAMONTE,CAUCA
PIENDAMO,CAUCA
PUERTO TEJADA,CAUCA
PURACE,CAUCA
ROSAS,CAUCA
SAN SEBASTIAN,CAUCA
SANTANDER DE QUILICHAO,CAUCA
SANTA ROSA,CAUCA
SILVIA,CAUCA
SOTARA,CAUCA
SUAREZ,CAUCA
SUCRE,CAUCA
TIMBIO,CAUCA
TORIBIO,CAUCA
TOTORO,CAUCA
EL TAMBO,CAUCA
GUAPI,CAUCA
LOPEZ,CAUCA
TIMBIQUI,CAUCA
VILLA RICA,CAUCA
CALI,VALLE DEL CAUCA
ANDALUCIA,VALLE DEL CAUCA
ANSERMANUEVO,VALLE DEL CAUCA
ARGELIA,VALLE DEL CAUCA
BUGA,VALLE DEL CAUCA
BUGALAGRANDE,VALLE DEL CAUCA
CAICEDONIA,VALLE DEL CAUCA
CALIMA,VALLE DEL CAUCA
CANDELARIA,VALLE DEL CAUCA
CARTAGO,VALLE DEL CAUCA
EL AGUILA,VALLE DEL CAUCA
EL CAIRO,VALLE DEL CAUCA
EL CERRITO,VALLE DEL CAUCA
EL DOVIO,VALLE DEL CAUCA
FLORIDA,VALLE DEL CAUCA
GINEBRA,VALLE DEL CAUCA
GUACARI,VALLE DEL CAUCA
ALCALA,VALLE DEL CAUCA
OBANDO,VALLE DEL CAUCA
PALMIRA,VALLE DEL CAUCA
PRADERA,VALLE DEL CAUCA
RESTREPO,VALLE DEL CAUCA
RIOFRIO,VALLE DEL CAUCA
ROLDANILLO,VALLE DEL CAUCA
SAN PEDRO,VALLE DEL CAUCA
SEVILLA,VALLE DEL CAUCA
TORO,VALLE DEL CAUCA
TRUJILLO,VALLE DEL CAUCA
TULUA,VALLE DEL CAUCA
ULLOA,VALLE DEL CAUCA
VERSALLES,VALLE DEL CAUCA
VIJES,VALLE DEL CAUCA
YOTOCO,VALLE DEL CAUCA
YUMBO,VALLE DEL CAUCA
ZARZAL,VALLE DEL CAUCA
LA VICTORIA,VALLE DEL CAUCA
LA UNION,VALLE DEL CAUCA
LA CUMBRE,VALLE DEL CAUCA
JAMUNDI,VALLE DEL CAUCA
BOLIVAR,VALLE DEL CAUCA
DAGUA,VALLE DEL CAUCA
BUENAVENTURA,VALLE DEL CAUCA
MOCOA,PUTUMAYO
COLON,PUTUMAYO
ORITO,PUTUMAYO
SIBUNDOY,PUTUMAYO
SAN FRANCISCO,PUTUMAYO
SAN MIGUEL,PUTUMAYO
SANTIAGO,PUTUMAYO
VALLE DEL GUAMUEZ,PUTUMAYO
VILLAGARZON,PUTUMAYO
PUERTO CAICEDO,PUTUMAYO
PUERTO ASIS,PUTUMAYO
PUERTO GUZMAN,PUTUMAYO
LEGUIZAMO,PUTUMAYO
SANDONA,NARIÑO
SAN BERNARDO,NARIÑO
SAN LORENZO,NARIÑO
POTOSI,NARIÑO
SAN PABLO,NARIÑO
PROVIDENCIA,NARIÑO
SAN PEDRO DE CARTAGO,NARIÑO
PUERRES,NARIÑO
SANTACRUZ,NARIÑO
PUPIALES,NARIÑO
SAMANIEGO,NARIÑO
CONSACA,NARIÑO
